; !!! AVISO -- LEE ESTO ANTES DE EDITAR !!!
; Ingenieria inversa, herramientas y documentacion de este proyecto: Rafael Eduardo Martin Candial (raemca@hotmail.com)
; Rejilla de losetas de body_l4.bin -- 15 filas x 32 columnas.
; Cada celda es el byte crudo en hex (2 digitos): bits 0-6 = indice de
; loseta (ver data/img/tiles/*.til, 00-90), bit 7 = flag sin confirmar en
; tiempo de ejecucion (CARGAR_NIVEL lo borra al cargar el nivel, ver
; FINDINGS.md) pero presente de verdad en el binario original.
; NO añadas ni quites filas ni columnas: el tamaño es FIJO. Si cambia,
; todo lo que va detras en madmix_body.asm se desplaza de direccion --
; el juego compilaria sin error pero cargaria niveles o datos
; incorrectos en tiempo de ejecucion. Ver FINDINGS.md/README.md.
; filas=15 columnas=32

2B 25 25 4A 4B 25 25 25 47 48 25 25 25 4A 4B 25 25 25 47 48 25 25 25 4A 4B 25 25 25 47 48 25 25
22 BF 3F 43 44 3F BF 3F 49 45 3F BF 3F 43 44 3F BF 3F 49 45 3F BF 3F 43 44 2D BF 3F 49 45 3F BF
22 2D 29 25 25 2A 2D 29 25 25 2A 2D 29 25 25 2A 2D 29 25 25 2A 2D 29 25 25 2A 2D 29 25 25 2A 2D
23 BF 27 25 25 28 3F 27 25 25 28 BF 27 25 25 28 BF 27 25 25 28 BF 27 25 25 28 BF 27 25 25 28 BF
BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D 3F 2D BF 2D BF 2D 3C 34 35 35
29 25 25 25 25 26 37 24 25 25 25 25 25 2A BF 21 54 55 21 BF 29 25 25 2A 2D 29 25 25 2A 34 20 33
27 25 25 25 25 2A 37 29 25 25 25 25 25 28 BF 23 56 57 23 BF 27 25 25 28 BF 27 25 25 28 34 20 33
2D BF 2D BF 3D 22 37 22 BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 34 35 35 36 33
25 2A BF 29 26 22 37 22 24 25 25 2A BF 29 25 25 2A BF 29 25 25 2A BF 29 25 25 2A 34 20 33 29 25
25 28 2D 27 25 28 37 27 25 25 25 28 BF 27 25 25 28 BF 27 25 25 28 BF 27 25 25 28 34 20 33 27 25
2D BF BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 2D BF 36 36 34 36 33 BF 2D
BF 29 25 25 2A BF 29 25 25 2A BF 29 25 50 38 38 38 51 25 2A BF 29 25 25 2A 33 21 34 29 25 25 2A
2D 27 47 48 28 2D 27 4A 4B 28 2D 22 BF BF BF BF BF BF BF 22 2D 27 47 48 28 33 22 34 27 47 48 28
BF 3F 49 45 3F BF 3F 43 44 BF BF 22 BF BF BF BF BF BF BF 22 BF BF 49 45 BF 33 22 36 BF 49 45 BF
25 25 25 25 25 25 25 25 25 25 25 2C 25 25 25 25 25 25 25 2C 25 25 25 25 25 25 2C 25 25 25 25 25
